constituency_number,alliance,party,candidate
140,AIADMK+,AMMK,M. Rajasekhar
141,SPA,DMK,Inigo Irudhayaraj
141,AIADMK+,AIADMK,K. Rajasekaran
142,SPA,DMK,Anbil Mahesh Poyyamozhi
142,AIADMK+,AIADMK,P. Kumar
143,SPA,DMK,A. Soundara Pandian
143,AIADMK+,AIADMK,R. Leema Rose
144,SPA,DMK,S. Kathiravan
144,AIADMK+,AIADMK,R. V. Bharathan
145,SPA,DMK,N. S. N. Karunairaja
145,AIADMK+,AIADMK,N. Yoganathan
146,SPA,INC,
146,AIADMK+,AIADMK,E. Suroja
147,SPA,DMK,Dr. S.D. Jayalakshmi
147,AIADMK+,AIADMK,Ilambai R. Thamizhselvan
148,SPA,DMK,S. S. Sivasankar
148,AIADMK+,AIADMK,Saranya Anbazhagan
149,SPA,DMK,Latha Balu
149,AIADMK+,AIADMK,Thamarai S. Rajendran
150,SPA,DMK,Ka. So. Ka. Kannan
150,AIADMK+,PMK,
151,SPA,DMK,C. V. Ganesan
151,AIADMK+,AIADMK,N. Murugumaran
152,SPA,DMDK,Premalatha Vijayakhanth
152,AIADMK+,PMK,
153,SPA,DMK,Saba. Rajendran
153,AIADMK+,AIADMK,Sorathur R. Rajendran
154,SPA,VCK,
154,AIADMK+,AIADMK,K. Mohan
155,SPA,INC,
155,AIADMK+,AIADMK,M. C. Sampath
156,SPA,DMK,M. R. K. Panneerselvam
156,AIADMK+,AIADMK,A. Bhuvanendhran
157,SPA,DMK,Durai K. Saravana
157,AIADMK+,AIADMK,A. Arunmozhithevan
158,SPA,DMK,Thamimun Ansari
158,AIADMK+,AIADMK,K. A. Pandian
159,SPA,VCK,
159,AIADMK+,PMK,
160,SPA,MDMK,Senthil Selvan
160,AIADMK+,AIADMK,M. Sakthi
161,SPA,INC,
161,AIADMK+,PMK,
162,SPA,DMK,Nivedha M. Murugan
162,AIADMK+,AIADMK,Pavunraj
163,SPA,DMK,M. H. Jawahirullah
163,AIADMK+,AIADMK,Thanga Kathiravan
164,SPA,CPI(M),
164,AIADMK+,PMK,Vadivel Ravanan
165,SPA,DMK,Ma.Me. Pugazhendhi
165,AIADMK+,AIADMK,O. S. Manian
166,SPA,CPI,K. Marimuthu
166,AIADMK+,AIADMK,U. Paladhandayutham
167,SPA,DMK,T. R. B. Rajaa
167,AIADMK+,AMMK,S. Kamaraj
168,SPA,DMK,K. Poondi Kalaivanan
168,AIADMK+,BJP,
169,SPA,DMK,V. M. S. Mohammed Mubarak
169,AIADMK+,AIADMK,R. Kamaraj
170,SPA,DMK,Govi. Chezian
170,AIADMK+,AIADMK,Ilamathi Subramanian
171,SPA,DMK,G. Anbalagan
171,AIADMK+,BJP,M. K. R. Ashok Kumar
172,SPA,IUML,A. M. Shahjahan
172,AIADMK+,AIADMK,D. Shanmugaprabhu
173,SPA,DMK,Durai. Chandrashekhar
173,AIADMK+,AMMK,V. Karthikeyan
174,SPA,DMK,Ramanathan
174,AIADMK+,BJP,
175,SPA,DMK,R. Vaithialingam
175,AIADMK+,AIADMK,M. Sekar
176,SPA,DMK,K. Annadurai
176,AIADMK+,AIADMK,C. V. Sekar
177,SPA,DMK,N. Ashokkumar
177,AIADMK+,AIADMK,Govi Ilango
178,SPA,CPI(M),
178,AIADMK+,BJP,
179,SPA,DMK,K. K. Chellapandian
179,AIADMK+,AIADMK,C. Vijayabhaskar
180,SPA,DMK,V. Muthuraja
180,AIADMK+,BJP,
181,SPA,DMK,S. Regupathy
181,AIADMK+,AIADMK,P. K. Vairamuthu
182,SPA,DMK,Siva V. Meyyanathan
182,AIADMK+,AIADMK,D. Vimal
183,SPA,INC,
183,AIADMK+,BJP,
184,SPA,INC,
184,AIADMK+,AMMK,Dherpoki V. Pandi
185,SPA,DMK,K. R. Periyakaruppan
185,AIADMK+,BJP,
186,SPA,DMK,
186,AIADMK+,AIADMK,P. R. Senthilnathan
187,SPA,DMK,A. Tamilarasi
187,AIADMK+,BJP,
188,SPA,INC,
188,AIADMK+,AIADMK,Periyapullan alias Selvam
189,SPA,DMK,P. Moorthy
189,AIADMK+,AIADMK,Mangulam K. Mahendran
190,SPA,DMK,A. Venkatesan
190,AIADMK+,AIADMK,K. Manickam
191,SPA,DMK,G. Thalapathy
191,AIADMK+,AIADMK,Dr. P. Saravanan
192,SPA,DMK,M. Boominathan
192,AIADMK+,BJP,
193,SPA,DMK,Palanivel Thiaga Rajan
193,AIADMK+,AIADMK,Sundar C
194,SPA,DMK,Raghu Balaji
194,AIADMK+,AIADMK,Sellur K. Raju
195,SPA,DMK,S. Keerthiga Thangapandi
195,AIADMK+,AIADMK,V. V. Rajan Chellappa
196,SPA,DMK,M. Manimaran
196,AIADMK+,AIADMK,R. B. Udhayakumar
197,SPA,INC,
197,AIADMK+,AIADMK,I. Mahendran
198,SPA,DMK,A. Maharajan
198,AIADMK+,AIADMK,A. Logirajan
199,SPA,VCK,
199,AIADMK+,AMMK,K. Kathirkamu
200,SPA,DMK,O. Panneerselvam
200,AIADMK+,AIADMK,V. T. Narayansamy
201,SPA,DMK,N. Eramakrishnan
201,AIADMK+,AIADMK,S. T. K. Jakkaiyan
202,SPA,DMK,S. Thanga Pandian
202,AIADMK+,BJP,Priscilla Pandian
203,SPA,CPI,P. Mahalingam
203,AIADMK+,AIADMK,M. Chandra Prabha
204,SPA,DMK,A. Kadarkarairaj
204,AIADMK+,BJP,Nainar Nagendran
205,SPA,INC,
205,AIADMK+,AIADMK,K. T. Rajenthra Bhalaji
206,SPA,DMDK,Vijayaprabhakar
206,AIADMK+,AIADMK,V. G. Ganesan
207,SPA,DMK,K. K. S. S. R. Ramachandran
207,AIADMK+,AIADMK,S. Sethupathi
208,SPA,DMK,Thangam Thennarasu
208,AIADMK+,AIADMK,M. S. R. Rajavarman
209,SPA,DMK,K.K. Kathiravan
209,AIADMK+,AIADMK,Dr. S. Muthaiah
210,SPA,INC,
210,AIADMK+,AIADMK,Keerthika Muniyasamy
211,SPA,DMK,
211,AIADMK+,BJP,
